Country,Year,GDP,Agriculture,Industry,Manufacturing,Services
Djibouti,2010,1.1,,,,
Dominica,2010,0.5,11,12,2,60.3
Dominican Republic,2010,53.9,6,28,15,59.3
Ecuador,2010,69.6,10,35,13,51.1
"Egypt, Arab Rep.",2010,219,13,36,16,46.2
El Salvador,2010,18.4,7,25,16,59.5
Equatorial Guinea,2010,16.3,1,75,21,24.7
Eritrea,2010,1.6,14,22,5,
Estonia,2010,19.7,3,24,14,60.2
Eswatini,2010,4.4,10,38,33,49.6
Ethiopia,2010,29.9,41,9,4,41.8
Faroe Islands,2010,2.3,15,14,5,58.3
Fiji,2010,3.1,9,17,12,57.5
Finland,2010,249.2,2,26,17,58.9
France,2010,"2,642.60",2,18,10,70.7
French Polynesia,2010,,,,,
Gabon,2010,14.4,4,55,17,30.8
"Gambia, The",2010,1.5,35,10,5,49.2
Georgia,2010,12.2,8,17,9,63.1
Germany,2010,"3,396.40",1,27,20,62.3
Ghana,2010,32.2,28,18,6,48.2
Greece,2010,299.4,3,14,7,71.6
Greenland,2010,2.5,13,18,4,65.6
Grenada,2010,0.8,5,15,3,68.4
Guam,2010,4.9,,,,
Guatemala,2010,41.3,11,27,19,58.5
Guinea,2010,6.9,17,32,11,43.4
Guinea-Bissau,2010,0.8,45,13,11,39.4
Guyana,2010,3.4,29,25,6,41.6
Haiti,2010,11.7,20,24,14,52.5
Honduras,2010,15.8,12,26,17,60.6
Hungary,2010,131.9,3,25,18,56.6
Iceland,2010,13.7,6,22,13,61.9
India,2010,"1,675.60",17,31,17,45
Indonesia,2010,755.1,14,43,22,40.7
"Iran, Islamic Rep.",2010,486.8,6,44,13,51.1
Iraq,2010,138.5,5,56,2,39
Ireland,2010,222.1,1,23,19,66.5
Isle of Man,2010,5.9,1,9,4,93
Israel,2010,234,2,21,14,66.6
Italy,2010,"2,134.00",2,22,14,66.3
Jamaica,2010,13.2,5,18,8,66.5
Japan,2010,"5,700.10",1,28,21,70.2
Jordan,2010,27.1,4,26,19,59.1
Kazakhstan,2010,148,5,41,11,51.7
Kenya,2010,40,25,19,11,48.1
Kiribati,2010,0.2,24,12,6,63.5
"Korea, Dem. People’s Rep.",2010,,,,,
"Korea, Rep.",2010,"1,144.10",2,34,27,54.7
Kosovo,2010,5.8,14,24,11,46.4
Kuwait,2010,115.4,0,66,6,47
Kyrgyz Republic,2010,4.8,17,26,17,49.3
Lao PDR,2010,7.1,23,30,11,43.6
Latvia,2010,23.9,4,21,12,64.4
Lebanon,2010,38.4,4,14,8,71.9
Lesotho,2010,2.3,5,31,13,54.6
Liberia,2010,2,45,5,3,50.2
Libya,2010,74.8,2,78,4,
Liechtenstein,2010,5.1,,,,
Lithuania,2010,37.1,3,26,17,60.7
Luxembourg,2010,53.2,0,11,5,78.3
Madagascar,2010,10,29,11,,53.3
Malawi,2010,7,30,15,10,47.9
Malaysia,2010,255,10,40,23,48.5
Maldives,2010,2.6,6,9,2,77.7
Mali,2010,10.7,33,23,7,35.5
Malta,2010,9,1,18,11,69.3
Marshall Islands,2010,0.2,10,14,4,71.3
Mauritania,2010,5.6,17,38,7,39.9
Mauritius,2010,10,4,22,14,62.9
Mexico,2010,"1,057.80",3,32,16,60.4
"Micronesia, Fed. Sts.",2010,0.3,25,7,0,60.7
Moldova,2010,7,11,20,10,54.5
Monaco,2010,5.4,..,13,,87.1
Mongolia,2010,7.2,12,33,7,44.8
Montenegro,2010,4.1,8,17,5,58.6
Morocco,2010,93.2,13,26,16,51
Mozambique,2010,11.1,27,16,10,47
Myanmar,2010,49.5,37,26,20,36.7
Namibia,2010,11.3,9,28,12,57.4
Nepal,2010,16,33,14,6,46.4
Netherlands,2010,846.6,2,20,10,68.4
New Caledonia,2010,,,,,
New Zealand,2010,146.6,7,21,11,64.4
Nicaragua,2010,8.8,17,22,14,51.7
Niger,2010,7.9,36,23,7,35.1
Nigeria,2010,361.5,24,25,7,50.8
North Macedonia,2010,9.4,10,21,10,55.1
Northern Mariana Islands,2010,0.8,,,,
Norway,2010,428.8,2,35,7,52.7
Oman,2010,56.9,1,66,11,37.9
Pakistan,2010,177.2,23,20,13,52.8
Palau,2010,0.2,4,9,1,76.7
Panama,2010,29.4,4,19,7,72.9
Papua New Guinea,2010,14.3,20,33,2,44.1
Paraguay,2010,27.2,13,35,19,45.3
Peru,2010,147.5,7,36,16,48.9
Philippines,2010,208.4,14,32,22,53.9
Poland,2010,479.8,3,29,15,56.3
Portugal,2010,237.9,2,20,12,66.1
Puerto Rico,2010,98.4,1,51,47,48.6
Qatar,2010,125.1,0,73,13,28.6
Romania,2010,166.3,5,38,23,46.2
Russian Federation,2010,"1,524.90",3,30,13,53.1
Rwanda,2010,6.1,24,16,8,49.9
Samoa,2010,0.7,10,18,10,71.8
San Marino,2010,1.9,,,,
Sao Tome and Principe,2010,0.2,12,17,8,67.1
Saudi Arabia,2010,528.2,3,58,11,39.2
Senegal,2010,16.2,16,22,15,52.8
Serbia,2010,41.8,7,25,15,51.7
Seychelles,2010,1,2,14,8,68.5
Sierra Leone,2010,2.6,53,8,2,35.3
Singapore,2010,239.8,0,27,21,67.8
Sint Maarten (Dutch part),2010,0.9,0,13,2,77.8
Slovak Republic,2010,90.3,2,31,18,58.3
Slovenia,2010,48.2,2,27,17,58.8
Solomon Islands,2010,0.8,,,,
Somalia,2010,,,,,
South Africa,2010,375.3,2,27,13,61
South Sudan,2010,14.6,5,61,2,33.6
Spain,2010,"1,420.70",2,23,11,66.3
Sri Lanka,2010,56.7,8,27,18,54.6
St. Kitts and Nevis,2010,0.8,1,23,8,67.4
St. Lucia,2010,1.5,3,12,3,73.9
St. Martin (French part),2010,,,,,
St. Vincent and the Grenadines,2010,0.7,6,16,5,63.2
Sudan,2010,58.2,23,27,6,44.5
Suriname,2010,4.4,9,35,21,48.2
Sweden,2010,495.8,2,24,15,62.8
Switzerland,2010,583.8,1,26,19,70
Syrian Arab Republic,2010,,,,,
Tajikistan,2010,5.6,20,25,10,45.1
Tanzania,2010,32,26,24,9,43.3
Thailand,2010,341.1,11,40,31,49.6
Timor-Leste,2010,0.9,26,9,1,68.9
Togo,2010,3.4,29,15,7,56.3
Tonga,2010,0.4,16,18,6,53.6
Trinidad and Tobago,2010,22.2,1,54,19,45.5
Tunisia,2010,44.1,8,29,17,56.7
Turkey,2010,777,9,24,15,54.5
Turkmenistan,2010,22.6,11,59,,28.1
Turks and Caicos Islands,2010,0.7,1,12,1,83.4
Tuvalu,2010,0,27,6,1,
Uganda,2010,26.6,32,25,17,37.7
Ukraine,2010,136,7,26,13,55.1
United Arab Emirates,2010,289.8,1,53,8,46.7
United Kingdom,2010,"2,475.20",1,19,10,70.6
United States,2010,"14,992.10",1,19,12,76.2
Uruguay,2010,40.3,7,25,14,58.2
Uzbekistan,2010,46.7,29,23,11,35.9
Vanuatu,2010,0.7,21,12,5,
"Venezuela, RB",2010,393.2,5,48,12,39
Vietnam,2010,115.9,18,32,13,36.9
Virgin Islands (U.S.),2010,4.3,,,,
West Bank and Gaza,2010,9.7,9,19,12,57.7
"Yemen, Rep.",2010,30.9,8,44,8,27.4
Zambia,2010,20.3,9,32,8,52.8
Zimbabwe,2010,12,10,21,9,57.8
World,2010,"66,125.90",4,27,16,63.2
East Asia & Pacific,2010,"16,988.70",6,36,24,57
Europe & Central Asia,2010,"20,967.70",2,24,14,64.1
Latin America & Caribbean,2010,"5,354.40",5,29,14,55.8
Middle East & North Africa,2010,"2,768.10",5,46,13,47.5
North America,2010,"16,612.20",1,20,12,75.2
South Asia,2010,"2,060.80",18,29,16,46.6
Sub-Saharan Africa,2010,"1,376.50",16,28,10,50.6
Low income,2010,392.1,27,26,9,40.7
Lower middle income,2010,"3,931.10",17,30,16,47.2
Upper middle income,2010,"16,223.40",7,37,21,49.7
High income,2010,"45,585.70",1,24,14,69
Afghanistan,2019,19.3,26,14,7,55.5
Albania,2019,15.3,18,20,6,48.6
Algeria,2019,171.1,12,37,24,46.2
American Samoa,2019,0.6,,,,
Andorra,2019,3.2,,,,
Angola,2019,88.8,7,54,4,39.3
Antigua and Barbuda,2019,1.7,2,22,2,66.3
Argentina,2019,445.4,6,23,13,54.3
Armenia,2019,13.7,12,24,12,54.2
Aruba,2019,3.1,,,,
Australia,2019,"1,396.60",2,25,6,66
Austria,2019,445.1,1,26,17,62.8
Azerbaijan,2019,48,6,49,5,37.4
"Bahamas, The",2019,13.6,1,13,2,71.2
Bahrain,2019,38.6,0,42,18,54.9
Bangladesh,2019,302.6,13,30,19,52.8
Barbados,2019,5.2,,,,
Belarus,2019,63.1,7,31,21,48.8
Belgium,2019,533.1,1,19,12,69.5
Belize,2019,1.9,10,12,6,65.5
Benin,2019,14.4,27,16,10,48
Bermuda,2019,7.5,0,6,1,89.2
Bhutan,2019,2.5,16,36,7,43.4
Bolivia,2019,40.9,12,25,10,50.7
Bosnia and Herzegovina,2019,20.2,6,24,13,55.7
Botswana,2019,18.3,2,28,5,58.2
Brazil,2019,"1,839.80",4,18,9,63.3
Brunei Darussalam,2019,13.5,1,63,14,38.2
Bulgaria,2019,68.6,3,22,,61.5
Burkina Faso,2019,16,20,26,10,44.5
Burundi,2019,3,29,11,,47.9
Cabo Verde,2019,2,5,20,7,61.4
Cambodia,2019,27.1,21,34,16,38.8
Cameroon,2019,39,15,26,14,51.5
Canada,2019,"1,736.40",,,,
Cayman Islands,2019,5.5,0,7,1,86.3
Central African Republic,2019,2.2,32,21,19,43.6
Chad,2019,11.3,43,14,3,40.5
Channel Islands,2019,,,,,
Chile,2019,282.3,4,29,10,58.7
China,2019,"14,342.90",7,39,27,53.9
"Hong Kong SAR, China",2019,365.7,0,6,1,88.7
"Macao SAR, China",2019,53.9,,4,1,94.2
Colombia,2019,323.6,7,26,11,57.6
Comoros,2019,1.2,33,9,,53.3
"Congo, Dem. Rep.",2019,50.4,20,41,20,35.4
"Congo, Rep.",2019,12.3,8,50,9,39.1
Costa Rica,2019,61.8,4,18,11,69.6
Cote d'Ivoire,2019,58.5,21,21,12,43.1
Croatia,2019,60.8,3,20,12,58.8
Cuba,2019,100,4,25,13,70
Curacao,2019,3.1,0,17,9,73.5
Cyprus,2019,24.9,2,13,5,72.8
Czech Republic,2019,250.7,2,31,22,56.9
Denmark,2019,350.1,1,21,13,64.8
Djibouti,2019,3.3,1,16,3,76.4
Dominica,2019,0.6,13,15,2,53.3
Dominican Republic,2019,88.9,5,29,14,58.3
Ecuador,2019,107.4,9,32,14,51.9
"Egypt, Arab Rep.",2019,303.1,11,36,16,50.5
El Salvador,2019,27,5,26,16,59.9
Equatorial Guinea,2019,11,3,50,20,46.7
Eritrea,2019,,,,,
Estonia,2019,31.5,2,22,13,62.5
Eswatini,2019,4.5,8,34,30,52.1
Ethiopia,2019,95.9,34,25,6,37.1
Faroe Islands,2019,3.1,17,18,5,53.3
Fiji,2019,5.5,12,16,10,54
Finland,2019,269.3,2,24,15,60
France,2019,"2,715.50",2,17,10,70.2
French Polynesia,2019,,,,,
Gabon,2019,16.9,6,47,40,41.2
"Gambia, The",2019,1.8,22,16,4,54.5
Georgia,2019,17.5,7,20,9,60.8
Germany,2019,"3,861.10",1,27,19,62.6
Ghana,2019,67,17,32,10,44.1
Greece,2019,209.9,4,15,10,68.1
Greenland,2019,3.1,18,18,4,60.5
Grenada,2019,1.2,5,14,3,66.6
Guam,2019,5.9,,,,
Guatemala,2019,76.7,9,22,14,62.7
Guinea,2019,12.3,24,24,10,40.9
Guinea-Bissau,2019,1.3,53,13,10,37.2
Guyana,2019,5.2,18,29,5,44.7
Haiti,2019,14.3,19,23,17,54.1
Honduras,2019,25.1,11,27,16,57.6
Hungary,2019,163.5,3,25,18,56.4
Iceland,2019,24.2,4,19,9,65.5
India,2019,"2,868.90",16,25,14,49.4
Indonesia,2019,"1,119.20",13,39,20,44.2
"Iran, Islamic Rep.",2019,454,12,32,15,55.8
Iraq,2019,234.1,1,50,,48.6
Ireland,2019,388.7,1,35,31,56.7
Isle of Man,2019,7.5,0,8,2,93.4
Israel,2019,394.7,1,19,12,69.8
Italy,2019,"2,003.60",2,21,15,66.3
Jamaica,2019,16.5,7,20,8,59.3
Japan,2019,"5,081.80",1,29,21,69.3
Jordan,2019,44.5,5,24,18,60.9
Kazakhstan,2019,181.7,4,33,11,55.5
Kenya,2019,95.5,34,16,8,43.2
Kiribati,2019,0.2,29,12,4,63.3
"Korea, Dem. People’s Rep.",2019,,,,,
"Korea, Rep.",2019,"1,646.70",2,33,25,57.1
Kosovo,2019,7.9,7,27,12,47.4
Kuwait,2019,134.6,0,57,7,54.2
Kyrgyz Republic,2019,8.5,12,28,14,50.2
Lao PDR,2019,18.2,15,31,7,42.7
Latvia,2019,34.1,4,19,10,64.7
Lebanon,2019,52,3,13,6,78.8
Lesotho,2019,2.4,5,29,16,54.6
Liberia,2019,3.1,39,12,2,48.9
Libya,2019,52.1,,,,
Liechtenstein,2019,6.9,0,45,39,51
Lithuania,2019,54.6,3,25,16,61.4
Luxembourg,2019,71.1,0,11,5,79.2
Madagascar,2019,14.1,23,17,,52.1
Malawi,2019,7.7,26,13,9,54.4
Malaysia,2019,364.7,7,37,21,54.2
Maldives,2019,5.6,5,12,2,70
Mali,2019,17.3,37,21,7,33.5
Malta,2019,15,1,12,7,75.6
Marshall Islands,2019,0.2,15,13,4,71.1
Mauritania,2019,7.6,19,25,8,45.8
Mauritius,2019,14,3,17,11,67.7
Mexico,2019,"1,268.90",3,31,17,59.9
"Micronesia, Fed. Sts.",2019,0.4,23,5,0,66.8
Moldova,2019,12,10,23,11,54.1
Monaco,2019,7.2,,13,,86.9
Mongolia,2019,14,11,38,9,40
Montenegro,2019,5.5,6,16,4,58.7
Morocco,2019,119.7,12,25,15,50.9
Mozambique,2019,15.3,26,23,9,39.9
Myanmar,2019,76.1,21,38,25,40.7
Namibia,2019,12.4,7,27,12,59.3
Nepal,2019,30.6,24,13,5,50.6
Netherlands,2019,907.1,2,18,11,69.8
New Caledonia,2019,,,,,
New Zealand,2019,206.9,6,20,10,65.2
Nicaragua,2019,12.5,15,25,14,49.7
Niger,2019,12.9,38,20,7,36.1
Nigeria,2019,448.1,22,27,12,49.7
North Macedonia,2019,12.5,8,23,13,55.2
Northern Mariana Islands,2019,1.3,,,,
Norway,2019,403.3,2,29,6,57.7
Oman,2019,76.3,2,54,10,48.1
Pakistan,2019,278.2,22,18,12,53.9
Palau,2019,0.3,3,9,1,80.5
Panama,2019,66.8,2,30,6,65
Papua New Guinea,2019,24.8,17,37,2,41.6
Paraguay,2019,38.1,10,32,18,50.4
Peru,2019,226.8,7,30,12,54.9
Philippines,2019,376.8,9,30,18,61
Poland,2019,595.9,2,29,17,57.6
Portugal,2019,238.8,2,19,12,65.6
Puerto Rico,2019,105,1,49,45,48.3
Qatar,2019,175.8,0,57,8,46.7
Romania,2019,250.1,4,28,17,58.2
Russian Federation,2019,"1,699.90",3,32,13,54
Rwanda,2019,10.4,24,19,8,49.1
Samoa,2019,0.9,10,16,6,74.7
San Marino,2019,1.7,,,32,
Sao Tome and Principe,2019,0.4,12,12,6,73.5
Saudi Arabia,2019,793,2,47,13,50.4
Senegal,2019,23.6,15,24,16,51.4
Serbia,2019,51.5,6,26,14,51.2
Seychelles,2019,1.7,2,11,6,72.3
Sierra Leone,2019,4.1,54,5,2,31.1
Singapore,2019,372.1,0,24,20,70.4
Sint Maarten (Dutch part),2019,1.2,0,9,1,69.1
Slovak Republic,2019,105.1,2,29,18,58.3
Slovenia,2019,54.2,2,29,21,56.6
Solomon Islands,2019,1.6,,,,
Somalia,2019,,,,,
South Africa,2019,351.4,2,26,12,61.2
South Sudan,2019,,,,,
Spain,2019,"1,393.50",3,20,11,67.6
Sri Lanka,2019,84,7,27,16,58.2
St. Kitts and Nevis,2019,1.1,1,26,6,67.4
St. Lucia,2019,2.1,2,10,3,75.2
St. Martin (French part),2019,,,,,
St. Vincent and the Grenadines,2019,0.8,7,14,4,62.8
Sudan,2019,30.5,12,1,,12.8
Suriname,2019,3.7,10,30,12,52.6
Sweden,2019,530.9,1,22,13,65.2
Switzerland,2019,703.1,1,26,19,70.9
Syrian Arab Republic,2019,,,,,
Tajikistan,2019,8.1,19,27,11,42.1
Tanzania,2019,63.2,29,25,8,37.9
Thailand,2019,543.5,8,33,25,58.6
Timor-Leste,2019,2,14,29,1,56.8
Togo,2019,5.5,23,15,6,28.5
Tonga,2019,0.5,17,15,6,50.5
Trinidad and Tobago,2019,24.3,1,44,20,53.4
Tunisia,2019,38.8,10,23,15,61.7
Turkey,2019,761.4,6,27,18,56.5
Turkmenistan,2019,40.8,,,,
Turks and Caicos Islands,2019,1.2,0,12,1,75.4
Tuvalu,2019,0,,,,
Uganda,2019,35.2,23,26,16,43.2
Ukraine,2019,153.8,9,23,11,54.4
United Arab Emirates,2019,421.1,1,46,9,53.1
United Kingdom,2019,"2,829.10",1,17,9,71.3
United States,2019,"21,433.20",1,19,11,76.9
Uruguay,2019,56,6,24,12,60.9
Uzbekistan,2019,57.9,26,33,20,32.2
Vanuatu,2019,0.9,,,,
"Venezuela, RB",2019,,,,,
Vietnam,2019,261.9,14,34,16,41.6
Virgin Islands (U.S.),2019,3.9,,,,
West Bank and Gaza,2019,16.3,7,19,12,60
"Yemen, Rep.",2019,22.6,6,41,,18.1
Zambia,2019,23.3,3,35,7,54.6
Zimbabwe,2019,21.4,8,21,11,61.3
World,2019,"87,798.50",3,26,15,65
East Asia & Pacific,2019,"26,987.80",4,34,23,60.5
Europe & Central Asia,2019,"22,792.80",2,23,14,64.8
Latin America & Caribbean,2019,"5,733.80",5,24,13,60.2
Middle East & North Africa,2019,"3,649.60",6,41,13,51.9
North America,2019,"23,177.10",1,19,11,76.9
South Asia,2019,"3,591.80",16,24,14,50.3
Sub-Saharan Africa,2019,"1,766.90",14,27,11,48.8
Low income,2019,541.5,22,20,,33.2
Lower middle income,2019,"6,334.90",15,27,14,50.3
Upper middle income,2019,"25,807.80",6,32,20,55.8
High income,2019,"55,140.60",1,23,14,69.6
